option1,option2,option3,option4,answer
jacket,sail,shell,dinner,jacket
jug,boot,feet,thorn,jug
jug,owl,wool,dinner,jug
jug,cook,wood,butter,jug
jug,tear,car,shed,jug
jug,park,cart,waiter,jug
jam,farm,lightning,hoof,jam
jet,road,waiter,shed,jet
jam,shop,shop,bee,jam
jet,van,van,oak,jet
jug,seed,chicken,tinfoil,chicken
jam,arch,quack,hoof,jam
jacket,tinfoil,fish,farmer,jacket
jet,food,shed,butter,jet
jam,yak,loaf,zigzag,jam
jet,shed,surf,loaf,jet
jam,shed,quack,light,jam
jam,sheep,soap,sing,jam
jug,food,owl,wood,jug
jug,chick,ring,barn,jug
jet,queen,goal,teeth,jet
jet,bee,gear,singer,jet
jacket,goat,cook,tail,jacket
jam,queen,surf,wig,jam
jam,food,ear,chicken,jam
jug,food,wood,butter,wood
jet,park,boot,sing,jet
jug,boot,fox,letter,jug
jet,sing,owl,farm,jet
jet,boat,hammer,web,jet
jug,letter,wool,loaf,jug
jet,book,lightning,curl,jet
jam,queen,road,ring,jam
jet,cork,chain,moat,jet
jam,cow,shell,web,jam
jam,seed,van,path,jam
jam,bush,lightning,wood,jam
jug,ear,shed,lightning,jug
jug,butter,town,wing,jug
jacket,corn,fish,boot,jacket
jam,church,corn,fork,jam
jacket,wing,boxer,ear,ear
jet,wing,boot,dish,jet
jacket,road,chicken,burn,jacket
jet,fish,curl,zigzag,jet
jam,burn,tear,oak,jam
jug,tinfoil,fur,chicken,jug
jam,seed,van,wool,jam
jam,zip,hood,barn,jam
jacket,surf,ring,quack,surf
jet,tear,boxer,roof,jet
jacket,fox,stair,poison,jacket
jet,zigzag,boot,dish,jet
jacket,cork,wood,ring,cork
jug,rain,yak,car,jug
jam,fish,chicken,farmer,jam
jet,waiter,sail,tooth,jet
jam,lightning,singer,ear,jam
jacket,hammer,beard,chair,hammer
jacket,turnip,stair,bee,jacket
jet,farm,buzz,boot,jet
jet,moon,shell,dish,jet
jug,sail,fish,fork,fish
jacket,chin,tear,van,jacket
jacket,fox,yak,tinfoil,jacket
jet,cork,tooth,zigzag,jet
jam,cook,curl,vet,jam
jacket,dinner,moat,torch,jacket
jet,feet,oil,singer,jet
jacket,sheep,dish,dish,jacket
jug,goat,thorn,curl,curl
jug,path,van,shark,jug
jet,foot,dinner,toad,jet
jam,zip,buzz,vet,jam
jug,shop,farmer,soap,shop
jug,card,car,van,card
jug,teeth,wood,food,jug
jug,zip,chain,van,jug
jet,chain,sing,poison,jet
jam,hammer,bath,shark,jam
jacket,book,bark,rain,jacket
jacket,wool,cook,soap,jacket
jet,sheep,chain,gear,jet
jacket,queen,moth,chop,jacket
jet,king,soil,wig,jet
jet,bee,coin,moth,jet
jam,food,church,fox,church
jet,van,surf,light,jet
jam,zigzag,hood,bark,jam
jam,loaf,foot,hook,jam
jug,sheep,food,owl,jug
jam,chain,owl,waiter,jam
jet,goat,book,queen,queen
jam,bath,oak,bee,jam
jet,goat,wing,singer,jet
jet,moat,fox,bath,jet
jacket,fox,town,tinfoil,tinfoil
jacket,bark,rain,sheep,bark
jacket,soil,hoof,car,hoof
jam,shark,hair,shell,jam
jacket,burn,butter,letter,jacket
jam,teeth,bath,wing,jam
jam,bee,burn,burn,bee
jacket,web,bee,boxer,jacket
jam,vet,seed,sheep,jam
jam,nail,singer,yak,jam
jacket,chicken,van,curl,chicken
jug,church,hair,shark,jug
jet,hammer,nail,cook,jet
